[2024-12-13 11:11:16] C:\xampp\htdocs\portal\portal_phpcsv\data_processing/../uploads/Consulta de Vagas de estágio.xlsx
[2024-12-13 11:11:16] Os dados da tabela portal_vagas_estagio foram substituídas com sucesso!
[2024-12-13 11:11:16] Total de linhas inseridas: 2700, Total de colunas: 15
[2024-12-13 11:11:16] Total de linhas que apresentaram erro: 1319
[2024-12-13 11:11:16] Erro na linha 22, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 391, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 392, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 392, coluna F: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 393, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 394, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 395, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 397, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 399, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 401, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 402, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 403, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 404, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 405, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 406, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 407, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 408, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 409, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 410, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 411, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 412, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 413, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 414, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 415, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 416, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 417, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 418, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 419, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 420, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 421, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 422, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 423, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 424, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 425, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 426, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 427, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 428, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 429, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 430, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 431, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 432, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 433, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 434, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 435, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 436, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 437, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:12] Erro na linha 438, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 439, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 440, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 441, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 442, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 443, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 444, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 445, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 446, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 447, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 448, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 449, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 450, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 451, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 452, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 453, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 454, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 455, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 456, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 457, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 458, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 459, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 460, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 461, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 462, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 463, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 464, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 464, coluna F: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 465, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 466, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 467, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 468, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 469, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 470, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 471, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 472, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 473, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 474, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 475, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 476, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 477, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 478, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 479, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 480, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 481, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 482, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 483, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 484, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 485, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 486, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 487, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 488, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 489, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 490, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 491, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 492, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 493, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 494, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 495, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 496, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 497, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 498, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 499, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 500, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 501, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 502, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 503, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 504, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 505, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 506, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 507, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 508, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 509, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 510, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 511, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 512, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 513, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:11] Erro na linha 514, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 515, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 516, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 517, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 518, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 519, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 520, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 521, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 522, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 523, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 524, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 525, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 526, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 527, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 528, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 529, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 530, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 531, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 532, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 533, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 534, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 535, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 536, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 537, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 538, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 539, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 540, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 541, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 542, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 543, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 544, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 545, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 546, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 547, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 548, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 549, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 550, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 551, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 552, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 553, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 554, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 555, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 556, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 557, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 558, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 559, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 560, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 561, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 562, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 563, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 564, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 565, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 566, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 567, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 568, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 569, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 570, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 571, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 572, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 573, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 574, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 575, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 576, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 577, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 578, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 579, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 580, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 581, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 582, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 583, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 584, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 585, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 586, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 587, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 588, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 589, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 590, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:10] Erro na linha 591, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:09] Erro na linha 592, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:09] Erro na linha 593, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:09] Erro na linha 594, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:09] Erro na linha 595, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:09] Erro na linha 596, coluna G: Célula vazia, sem informação.
[2024-12-13 11:11:09] Erro na linha 597, coluna G: Célula vazia, sem informação.
